in s,C4 in V
1.0596800E-05,9.07031E-05
1.0780000E-05,7.11719E-05
1.0963200E-05,3.21094E-05
1.1146400E-05,-6.95312E-06
1.1329600E-05,3.21094E-05
1.1512800E-05,9.07031E-05
1.1696000E-05,3.21094E-05
1.1879200E-05,7.11719E-05
1.2062400E-05,7.11719E-05
1.2245600E-05,3.21094E-05
1.2428800E-05,3.21094E-05
1.2612000E-05,7.11719E-05
1.2795200E-05,3.21094E-05
1.2978400E-05,-6.95312E-06
1.3161600E-05,-6.95312E-06
1.3344800E-05,1.29766E-04
1.3528000E-05,9.07031E-05
1.3711200E-05,1.25781E-05
1.3894400E-05,3.21094E-05
1.4077600E-05,7.11719E-05
1.4260800E-05,5.16406E-05
1.4444000E-05,3.21094E-05
1.4627200E-05,-6.55469E-05
1.4810400E-05,9.07031E-05
1.4993600E-05,7.11719E-05
1.5176800E-05,3.21094E-05
1.5360000E-05,1.25781E-05
1.5543200E-05,3.21094E-05
1.5726400E-05,5.16406E-05
1.5909600E-05,9.07031E-05
1.6092800E-05,1.25781E-05
1.6276000E-05,5.16406E-05
1.6459200E-05,1.25781E-05
1.6642400E-05,1.25781E-05
1.6825600E-05,7.11719E-05
1.7008800E-05,5.16406E-05
1.7192000E-05,5.16406E-05
1.7375200E-05,1.25781E-05
1.7558400E-05,-2.64844E-05
1.7741600E-05,7.11719E-05
1.7924800E-05,-6.95312E-06
1.8108000E-05,3.21094E-05
1.8291200E-05,5.16406E-05
1.8474400E-05,7.11719E-05
1.8657600E-05,7.11719E-05
1.8840800E-05,5.16406E-05
1.9024000E-05,1.25781E-05
1.9207200E-05,1.25781E-05
1.9390400E-05,3.21094E-05
1.9573600E-05,7.11719E-05
1.9756800E-05,7.11719E-05
1.9940000E-05,5.16406E-05
2.0123200E-05,9.83680E-03
2.0306400E-05,9.91492E-03
2.0489600E-05,9.89539E-03
2.0672800E-05,9.93445E-03
2.0856000E-05,9.81727E-03
2.1039200E-05,9.91492E-03
2.1222400E-05,9.89539E-03
2.1405600E-05,9.93445E-03
2.1588800E-05,9.93445E-03
2.1772000E-05,9.91492E-03
2.1955200E-05,9.93445E-03
2.2138400E-05,9.91492E-03
2.2321600E-05,9.85633E-03
2.2504800E-05,9.97352E-03
2.2688000E-05,9.97352E-03
2.2871200E-05,9.91492E-03
2.3054400E-05,9.97352E-03
2.3237600E-05,9.95398E-03
2.3420800E-05,9.93445E-03
2.3604000E-05,9.91492E-03
2.3787200E-05,9.91492E-03
2.3970400E-05,9.99305E-03
2.4153600E-05,9.87586E-03
2.4336800E-05,9.93445E-03
2.4520000E-05,9.97352E-03
2.4703200E-05,9.99305E-03
2.4886400E-05,9.93445E-03
2.5069600E-05,9.97352E-03
2.5252800E-05,9.91492E-03
2.5436000E-05,9.99305E-03
2.5619200E-05,9.91492E-03
2.5802400E-05,9.93445E-03
2.5985600E-05,1.00126E-02
2.6168800E-05,1.00126E-02
2.6352000E-05,9.91492E-03
2.6535200E-05,1.00126E-02
2.6718400E-05,9.93445E-03
2.6901600E-05,9.99305E-03
2.7084800E-05,1.10234E-04
2.7268000E-05,1.29766E-04
2.7451200E-05,9.07031E-05
2.7634400E-05,5.16406E-05
2.7817600E-05,7.11719E-05
2.8000800E-05,9.07031E-05
2.8184000E-05,5.16406E-05
2.8367200E-05,9.07031E-05
2.8550400E-05,9.07031E-05
2.8733600E-05,7.11719E-05
2.8916800E-05,7.11719E-05
2.9100000E-05,5.16406E-05
2.9283200E-05,3.21094E-05
2.9466400E-05,9.07031E-05
2.9649600E-05,1.25781E-05
2.9832800E-05,5.16406E-05
3.0016000E-05,1.25781E-05
3.0199200E-05,7.11719E-05
3.0382400E-05,7.11719E-05
3.0565600E-05,9.07031E-05
3.0748800E-05,3.21094E-05
3.0932000E-05,5.16406E-05
3.1115200E-05,7.11719E-05
3.1298400E-05,5.16406E-05
3.1481600E-05,1.25781E-05
3.1664800E-05,9.07031E-05
3.1848000E-05,9.07031E-05
3.2031200E-05,9.07031E-05
3.2214400E-05,5.16406E-05
3.2397600E-05,1.10234E-04
