in s,M2 in V
-2.113620E-01,-1.5796204E+00
-2.113524E-01,-1.5796204E+00
-2.113428E-01,-1.5796509E+00
-2.113332E-01,-1.5795898E+00
-2.113236E-01,-1.5795288E+00
-2.113140E-01,-1.5794373E+00
-2.113044E-01,-1.5794678E+00
-2.112948E-01,-1.5794678E+00
-2.112852E-01,-1.5794373E+00
-2.112756E-01,-1.5794067E+00
-2.112660E-01,-1.5792542E+00
-2.112564E-01,-1.5791626E+00
-2.112468E-01,-1.5793457E+00
-2.112372E-01,-1.5795288E+00
-2.112276E-01,-1.5795288E+00
-2.112180E-01,-1.5794678E+00
-2.112084E-01,-1.5795288E+00
-2.111988E-01,-1.5793762E+00
-2.111892E-01,-1.5794373E+00
-2.111796E-01,-1.5794678E+00
-2.111700E-01,-1.5794067E+00
-2.111604E-01,-1.5794983E+00
-2.111508E-01,-1.5794067E+00
-2.111412E-01,-1.5794067E+00
-2.111316E-01,-1.5793762E+00
-2.111220E-01,-1.5794678E+00
-2.111124E-01,-1.5794067E+00
-2.111028E-01,-1.5794067E+00
-2.110932E-01,-1.5793762E+00
-2.110836E-01,-1.5794678E+00
-2.110740E-01,-1.5795898E+00
-2.110644E-01,-1.5795898E+00
-2.110548E-01,-1.5796509E+00
-2.110452E-01,-1.5797729E+00
-2.110356E-01,-1.5795898E+00
-2.110260E-01,-1.5795288E+00
-2.110164E-01,-1.5796509E+00
-2.110068E-01,-1.5796204E+00
-2.109972E-01,-1.5797424E+00
-2.109876E-01,-1.5795898E+00
-2.109780E-01,-1.5797424E+00
-2.109684E-01,-1.5796814E+00
-2.109588E-01,-1.5794983E+00
-2.109492E-01,-1.5795288E+00
-2.109396E-01,-1.5794983E+00
-2.109300E-01,-1.5794067E+00
-2.109204E-01,-1.5793762E+00
-2.109108E-01,-1.5794067E+00
-2.109012E-01,-1.5794983E+00
-2.108916E-01,-1.5795288E+00
-2.108820E-01,-1.5795288E+00
-2.108724E-01,-1.5794983E+00
-2.108628E-01,-1.5793762E+00
-2.108532E-01,-1.5794983E+00
-2.108436E-01,-1.5793457E+00
-2.108340E-01,-1.5794983E+00
-2.108244E-01,-1.5795288E+00
-2.108148E-01,-1.5796204E+00
-2.108052E-01,-1.5795593E+00
-2.107956E-01,-1.5794983E+00
-2.107860E-01,-1.5793762E+00
-2.107764E-01,-1.5794678E+00
-2.107668E-01,-1.5796204E+00
-2.107572E-01,-1.5794678E+00
-2.107476E-01,-1.5792847E+00
-2.107380E-01,-1.5792847E+00
-2.107284E-01,-1.5791931E+00
-2.107188E-01,-1.5791931E+00
-2.107092E-01,-1.5792847E+00
-2.106996E-01,-1.5792847E+00
-2.106900E-01,-1.5792847E+00
-2.106804E-01,-1.5794983E+00
-2.106708E-01,-1.5794678E+00
-2.106612E-01,-1.5793762E+00
-2.106516E-01,-1.5794983E+00
-2.106420E-01,-1.5794983E+00
-2.106324E-01,-1.5795898E+00
-2.106228E-01,-1.5794678E+00
-2.106132E-01,-1.5795898E+00
-2.106036E-01,-1.5796204E+00
-2.105940E-01,-1.5795898E+00
-2.105844E-01,-1.5796204E+00
-2.105748E-01,-1.5796509E+00
-2.105652E-01,-1.5794983E+00
-2.105556E-01,-1.5794373E+00
-2.105460E-01,-1.5794373E+00
-2.105364E-01,-1.5795898E+00
-2.105268E-01,-1.5794373E+00
-2.105172E-01,-1.5795288E+00
-2.105076E-01,-1.5795593E+00
-2.104980E-01,-1.5794983E+00
-2.104884E-01,-1.5794678E+00
-2.104788E-01,-1.5795593E+00
-2.104692E-01,-1.5796509E+00
-2.104596E-01,-1.5794678E+00
-2.104500E-01,-1.5795898E+00
-2.104404E-01,-1.5794067E+00
-2.104308E-01,-1.5794983E+00
-2.104212E-01,-1.5794678E+00
-2.104116E-01,-1.5794373E+00
-2.104020E-01,-1.5794983E+00
-2.103924E-01,-1.5795288E+00
-2.103828E-01,-1.5795593E+00
-2.103732E-01,-1.5795898E+00
-2.103636E-01,-1.5793457E+00
-2.103540E-01,-1.5793762E+00
-2.103444E-01,-1.5794678E+00
-2.103348E-01,-1.5795593E+00
-2.103252E-01,-1.5795288E+00
-2.103156E-01,-1.5794983E+00
-2.103060E-01,-1.5794983E+00
-2.102964E-01,-1.5794373E+00
-2.102868E-01,-1.5794678E+00
-2.102772E-01,-1.5795898E+00
-2.102676E-01,-1.5795898E+00
-2.102580E-01,-1.5794678E+00
-2.102484E-01,-1.5794373E+00
-2.102388E-01,-1.5794067E+00
-2.102292E-01,-1.5794678E+00
-2.102196E-01,-1.5794678E+00
-2.102100E-01,-1.5793457E+00
-2.102004E-01,-1.5794678E+00
-2.101908E-01,-1.5794983E+00
-2.101812E-01,-1.5795288E+00
-2.101716E-01,-1.5795593E+00
-2.101620E-01,-1.5795898E+00
-2.101524E-01,-1.5796814E+00
-2.101428E-01,-1.5796814E+00
-2.101332E-01,-1.5797729E+00
-2.101236E-01,-1.5796814E+00
-2.101140E-01,-1.5795898E+00
-2.101044E-01,-1.5796509E+00
-2.100948E-01,-1.5795593E+00
-2.100852E-01,-1.5794067E+00
-2.100756E-01,-1.5794067E+00
-2.100660E-01,-1.5794983E+00
-2.100564E-01,-1.5796204E+00
-2.100468E-01,-1.5795593E+00
-2.100372E-01,-1.5793457E+00
-2.100276E-01,-1.5794678E+00
-2.100180E-01,-1.5794373E+00
-2.100084E-01,-1.5794983E+00
-2.099988E-01,-1.5795898E+00
-2.099892E-01,-1.5794678E+00
-2.099796E-01,-1.5795593E+00
-2.099700E-01,-1.5794678E+00
-2.099604E-01,-1.5794373E+00
-2.099508E-01,-1.5792542E+00
-2.099412E-01,-1.5792847E+00
-2.099316E-01,-1.5794067E+00
-2.099220E-01,-1.5793152E+00
-2.099124E-01,-1.5793152E+00
-2.099028E-01,-1.5794678E+00
-2.098932E-01,-1.5794678E+00
-2.098836E-01,-1.5794983E+00
-2.098740E-01,-1.5794983E+00
-2.098644E-01,-1.5795288E+00
-2.098548E-01,-1.5795593E+00
-2.098452E-01,-1.5793762E+00
-2.098356E-01,-1.5794067E+00
-2.098260E-01,-1.5795288E+00
-2.098164E-01,-1.5795593E+00
-2.098068E-01,-1.5795288E+00
-2.097972E-01,-1.5794678E+00
-2.097876E-01,-1.5794678E+00
-2.097780E-01,-1.5792847E+00
-2.097684E-01,-1.5793152E+00
